1000    avg = 67481.5   max = 171264
        256     100%    (0.3%)
        512     99.7%   (1.2%)
        1024    98.5%   (7.4%)
        2048    91.1%   (23.6%)
        4096    67.5%   (54.4%)
        8192    13.1%   (13.1%)
2000    avg = 70025     max = 179920
        256     100%    (0.4%)
        512     99.6%   (1.2%)
        1024    98.4%   (7.1%)
        2048    91.3%   (20.3%)
        4096    71%     (55%)
        8192    16%     (16%)
3000    avg = 70910.5   max = 176420
        128     100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.4%)
        1024    98.3%   (7.7%)
        2048    90.6%   (18.6%)
        4096    72%     (54.4%)
        8192    17.6%   (17.6%)
4000    avg = 70135.4   max = 176744
        64      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.3%)
        1024    98.3%   (8.3%)
        2048    90%     (19.6%)
        4096    70.4%   (53.9%)
        8192    16.5%   (16.5%)
5000    avg = 71393.6   max = 177872
        128     100%    (0.2%)
        256     99.8%   (0.2%)
        512     99.6%   (1.4%)
        1024    98.2%   (7.9%)
        2048    90.3%   (18.8%)
        4096    71.5%   (53.3%)
        8192    18.2%   (18.2%)
6000    avg = 70730.1   max = 216012
        64      100%    (0.1%)
        128     99.9%   (0.1%)
        256     99.8%   (0.2%)
        512     99.6%   (1.1%)
        1024    98.5%   (8.6%)
        2048    89.9%   (18.8%)
        4096    71.1%   (53.3%)
        8192    17.8%   (17.7%)
        16384   0.1%    (0.1%)
7000    avg = 71265.9   max = 185352
        256     100%    (0.1%)
        512     99.9%   (1.4%)
        1024    98.5%   (6.9%)
        2048    91.6%   (21.8%)
        4096    69.8%   (52.3%)
        8192    17.5%   (17.5%)
8000    avg = 71930.8   max = 225552
        128     100%    (0.1%)
        256     99.9%   (0.5%)
        512     99.4%   (1%)
        1024    98.4%   (7%)
        2048    91.4%   (21.7%)
        4096    69.7%   (49.5%)
        8192    20.2%   (20.1%)
        16384   0.1%    (0.1%)
9000    avg = 73305.3   max = 175016
        256     100%    (0.1%)
        512     99.9%   (1.2%)
        1024    98.7%   (7.7%)
        2048    91%     (17.9%)
        4096    73.1%   (54.3%)
        8192    18.8%   (18.8%)
10000   avg = 72584.9   max = 217316
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (6.4%)
        2048    91.9%   (19.1%)
        4096    72.8%   (54.7%)
        8192    18.1%   (18%)
        16384   0.1%    (0.1%)
11000   avg = 72721.8   max = 188300
        256     100%    (0.2%)
        512     99.8%   (1.3%)
        1024    98.5%   (7.8%)
        2048    90.7%   (17.9%)
        4096    72.8%   (53.5%)
        8192    19.3%   (19.3%)
12000   avg = 74632     max = 193180
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.7%)
        1024    97.9%   (5.4%)
        2048    92.5%   (19.3%)
        4096    73.2%   (52.6%)
        8192    20.6%   (20.6%)
13000   avg = 72438.8   max = 177144
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (0.9%)
        1024    98.9%   (7%)
        2048    91.9%   (20.3%)
        4096    71.6%   (52.5%)
        8192    19.1%   (19.1%)
14000   avg = 76590.3   max = 185472
        64      100%    (0.1%)
        128     99.9%   (0.1%)
        256     99.8%   (0.3%)
        512     99.5%   (0.8%)
        1024    98.7%   (7.5%)
        2048    91.2%   (16.5%)
        4096    74.7%   (52.3%)
        8192    22.4%   (22.4%)
15000   avg = 73368.8   max = 193400
        256     100%    (0.2%)
        512     99.8%   (1.6%)
        1024    98.2%   (6.4%)
        2048    91.8%   (19.4%)
        4096    72.4%   (52.7%)
        8192    19.7%   (19.7%)
16000   avg = 74395     max = 176816
        512     100%    (1.8%)
        1024    98.2%   (5.5%)
        2048    92.7%   (19.5%)
        4096    73.2%   (52.4%)
        8192    20.8%   (20.8%)
17000   avg = 76533.6   max = 178092
        256     100%    (0.1%)
        512     99.9%   (1.4%)
        1024    98.5%   (5.8%)
        2048    92.7%   (19.6%)
        4096    73.1%   (49.4%)
        8192    23.7%   (23.7%)
18000   avg = 77149.1   max = 177096
        256     100%    (0.2%)
        512     99.8%   (1.6%)
        1024    98.2%   (7%)
        2048    91.2%   (16.8%)
        4096    74.4%   (50.9%)
        8192    23.5%   (23.5%)
19000   avg = 75998     max = 187244
        128     100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.5%)
        1024    98%     (5.8%)
        2048    92.2%   (18%)
        4096    74.2%   (51.3%)
        8192    22.9%   (22.9%)
20000   avg = 75970.2   max = 262176
        256     100%    (0.4%)
        512     99.6%   (1.5%)
        1024    98.1%   (7.1%)
        2048    91%     (17.6%)
        4096    73.4%   (50.6%)
        8192    22.8%   (22.7%)
        16384   0.1%    (0.1%)
21000   avg = 77982.5   max = 193276
        256     100%    (0.3%)
        512     99.7%   (1.1%)
        1024    98.6%   (5.7%)
        2048    92.9%   (17.6%)
        4096    75.3%   (51.8%)
        8192    23.5%   (23.5%)
22000   avg = 77525.8   max = 241388
        64      100%    (0.2%)
        256     99.8%   (0.2%)
        512     99.6%   (0.8%)
        1024    98.8%   (7.1%)
        2048    91.7%   (17.1%)
        4096    74.6%   (50.5%)
        8192    24.1%   (24%)
        16384   0.1%    (0.1%)
23000   avg = 77177.8   max = 182888
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (2.3%)
        1024    97.5%   (5.8%)
        2048    91.7%   (16.5%)
        4096    75.2%   (51.2%)
        8192    24%     (24%)
24000   avg = 78159.6   max = 222172
        256     100%    (0.3%)
        512     99.7%   (2.4%)
        1024    97.3%   (6.1%)
        2048    91.2%   (16.5%)
        4096    74.7%   (50%)
        8192    24.7%   (24.6%)
        16384   0.1%    (0.1%)
25000   avg = 79188.8   max = 236776
        256     100%    (0.1%)
        512     99.9%   (1.3%)
        1024    98.6%   (5.5%)
        2048    93.1%   (17.8%)
        4096    75.3%   (49.1%)
        8192    26.2%   (26.1%)
        16384   0.1%    (0.1%)
26000   avg = 79663     max = 217380
        128     100%    (0.1%)
        256     99.9%   (0.5%)
        512     99.4%   (2%)
        1024    97.4%   (6.1%)
        2048    91.3%   (17.1%)
        4096    74.2%   (46.7%)
        8192    27.5%   (27.4%)
        16384   0.1%    (0.1%)
27000   avg = 77713.6   max = 177236
        256     100%    (0.3%)
        512     99.7%   (1.6%)
        1024    98.1%   (6.5%)
        2048    91.6%   (16.7%)
        4096    74.9%   (49.6%)
        8192    25.3%   (25.3%)
28000   avg = 78918.4   max = 213080
        256     100%    (0.3%)
        512     99.7%   (2%)
        1024    97.7%   (5.3%)
        2048    92.4%   (14.9%)
        4096    77.5%   (52.4%)
        8192    25.1%   (25%)
        16384   0.1%    (0.1%)
29000   avg = 79098.6   max = 211560
        256     100%    (0.4%)
        512     99.6%   (1.7%)
        1024    97.9%   (7.1%)
        2048    90.8%   (15.5%)
        4096    75.3%   (48.4%)
        8192    26.9%   (26.8%)
        16384   0.1%    (0.1%)
30000   avg = 82454.4   max = 188420
        512     100%    (1.4%)
        1024    98.6%   (5.6%)
        2048    93%     (15.5%)
        4096    77.5%   (49.4%)
        8192    28.1%   (28.1%)
31000   avg = 81393.3   max = 218064
        256     100%    (0.1%)
        512     99.9%   (1.5%)
        1024    98.4%   (6.6%)
        2048    91.8%   (14.8%)
        4096    77%     (49%)
        8192    28%     (27.9%)
        16384   0.1%    (0.1%)
32000   avg = 79943.9   max = 185296
        64      100%    (0.2%)
        256     99.8%   (0.2%)
        512     99.6%   (1.7%)
        1024    97.9%   (5.9%)
        2048    92%     (15.4%)
        4096    76.6%   (49.8%)
        8192    26.8%   (26.8%)
33000   avg = 81392     max = 270932
