Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1599,31540,2048,3508,"2,1,2,3,5,4,11,1,10,8,6,2,1,5,3,1",1.503998
1,938,16056,1024,2088,"6,3,1,2,2,5,4,3,7,10,9,8,3,4,1,2",1.093573
2,822,14300,1024,1824,"1,2,1,2,2,5,4,7,4,9,6,3,1,10,2,1",1.056644
3,972,16204,1024,2092,"2,10,5,1,4,3,4,2,2,9,7,6,1,8,4,2",1.136087
4,952,16112,1024,2086,"2,3,1,2,5,9,4,3,3,10,6,7,1,8,4,1",1.110622
5,715,12088,1024,1578,"3,1,2,1,8,5,7,4,3,6,10,2,2,3,4,1",0.961778
6,1588,31248,2048,3510,"1,3,7,1,11,6,5,3,2,5,10,4,3,1,7,2",1.568120
7,836,14428,1024,1858,"3,5,2,1,10,9,4,3,5,7,6,2,1,2,4,1",1.060020
8,708,12060,1024,1580,"4,3,2,1,2,7,3,2,5,8,6,4,3,2,1,10",0.946377
9,1308,25468,2048,2858,"1,9,2,1,3,6,4,3,2,4,5,7,1,11,2,3",1.445097
10,982,16596,1024,2164,"1,3,5,2,2,4,7,10,9,8,5,2,2,3,7,1",1.131752
11,1854,35808,2048,4084,"3,6,4,2,10,9,8,3,3,4,11,5,2,6,4,2",1.681556
12,803,14144,1024,1792,"1,2,3,2,7,6,4,1,3,9,3,2,1,2,1,10",0.993805
13,1779,34660,2048,3936,"2,5,4,3,3,11,6,5,4,5,10,9,1,7,3,1",1.794380
14,2338,51396,4096,5168,"4,6,3,1,2,1,5,7,1,3,8,5,2,12,9,1",2.145289
15,1664,32512,2048,3696,"2,6,5,2,3,8,7,1,5,11,6,2,1,3,10,4",1.598203
16,946,16088,1024,2086,"1,4,10,3,9,6,7,8,1,4,3,5,3,2,1,2",1.117874
17,1782,34552,2048,3886,"1,2,7,4,3,5,10,1,11,9,4,2,3,6,1,4",1.664503
18,1807,35400,2048,4002,"1,4,1,2,2,3,5,3,6,10,8,9,2,4,11,1",1.731211
19,1293,25404,2048,2852,"1,2,3,2,11,7,4,1,1,3,5,6,9,2,1,4",1.530460
20,1744,34272,2048,3854,"1,3,9,4,5,10,7,11,4,2,5,3,2,1,4,1",1.585317
21,981,16312,1024,2124,"1,2,4,3,5,6,7,4,3,8,9,5,2,10,4,1",1.145080
22,901,15724,1024,2030,"1,2,9,4,2,4,7,2,1,5,8,10,2,3,4,1",1.116038
23,973,16436,1024,2162,"2,4,2,1,3,6,10,3,8,5,6,9,2,7,5,2",1.076507
24,1763,34456,2048,3874,"1,3,2,1,2,6,4,3,11,5,10,9,1,7,4,2",1.678868
25,1857,36052,2048,4104,"2,11,3,1,8,10,6,2,4,7,9,4,3,2,1,3",1.698951
26,980,16412,1024,2140,"1,2,9,2,3,8,2,6,5,6,10,4,4,2,7,1",1.078930
27,1639,32220,2048,3640,"1,5,6,3,2,10,8,5,7,3,11,3,2,1,2,4",1.698049
28,1412,27100,2048,3084,"1,2,4,2,3,6,3,1,9,11,8,7,3,2,4,2",1.496097
29,1850,35684,2048,4044,"1,5,2,1,2,11,10,5,3,9,8,6,2,5,4,2",1.712330
30,1741,34212,2048,3838,"1,4,3,2,4,9,5,1,10,7,4,3,4,11,2,1",1.692354
31,924,15944,1024,2062,"1,4,3,2,2,6,8,1,4,10,9,2,2,7,4,1",1.074075
32,1680,32516,2048,3676,"2,3,5,8,3,6,11,3,2,10,7,6,1,3,1,4",1.570426
33,1437,27444,2048,3160,"1,2,4,3,6,9,7,6,2,5,11,3,3,8,2,1",1.527724
34,1748,34272,2048,3846,"2,1,3,1,3,4,7,5,11,9,5,10,1,3,4,2",1.675914
35,1861,35932,2048,4062,"2,4,2,1,7,11,8,5,4,10,3,1,2,9,1,2",1.736165
36,1214,23560,2048,2688,"1,6,4,2,2,8,7,11,5,6,3,5,3,4,2,1",1.349765
37,931,15972,1024,2060,"2,1,2,1,1,10,4,9,3,6,7,8,4,2,4,1",1.050131
38,1651,32280,2048,3644,"2,4,2,1,3,5,6,7,8,10,5,2,2,11,4,1",1.637640
39,1774,34708,2048,3940,"1,2,4,2,2,11,6,5,4,10,7,9,1,6,4,2",1.610413
40,848,14428,1024,1842,"2,1,2,3,4,6,4,1,7,10,9,5,3,4,2,1",1.065471
41,1761,34364,2048,3852,"3,9,2,1,2,5,10,5,1,11,7,4,2,1,5,1",1.730195
42,816,14256,1024,1812,"2,10,2,1,1,3,9,7,2,4,6,2,1,2,5,1",1.010362
43,1670,32424,2048,3670,"7,2,5,1,1,5,11,4,2,8,6,10,3,4,5,1",1.621796
44,939,16060,1024,2088,"1,4,3,2,2,8,5,3,9,7,6,2,4,10,3,1",1.058526
45,948,16160,1024,2112,"1,2,3,1,3,10,4,5,5,7,8,6,2,4,9,2",1.069617
46,1219,23520,2048,2670,"3,7,6,2,4,5,4,3,2,3,8,6,1,11,3,2",1.334291
47,1333,25784,2048,2932,"2,3,4,7,4,5,6,3,2,9,4,1,1,6,3,11",1.472244
48,1664,32320,2048,3640,"2,3,4,2,5,6,8,3,2,10,3,11,1,7,1,5",1.545172
49,954,16120,1024,2088,"2,10,4,2,4,9,8,3,2,6,5,7,1,3,1,3",1.073984
50,1826,35552,2048,4040,"3,9,5,8,4,10,6,3,3,4,11,2,1,5,3,1",1.719804
51,2747,59668,4096,6054,"1,2,8,10,2,3,12,6,5,9,5,2,2,1,3,1",2.247830
52,1649,32260,2048,3638,"3,5,3,2,5,11,10,1,1,6,8,2,3,7,1,4",1.594195
53,1912,36388,2048,4150,"10,3,5,2,3,7,9,4,2,3,11,6,1,2,5,8",1.748723
54,1290,25444,2048,2872,"2,1,3,1,3,6,4,7,1,9,5,3,5,11,2,1",1.342538
55,1411,27228,2048,3136,"3,2,9,2,4,7,8,1,3,6,2,4,5,11,1,5",1.442242
56,1447,27584,2048,3200,"3,4,8,1,4,11,1,5,6,5,7,6,1,4,9,1",1.502924
57,1179,23172,2048,2606,"1,2,1,2,4,5,8,4,11,4,6,7,2,1,2,3",1.271040
58,945,16084,1024,2088,"2,6,2,1,3,9,10,3,4,8,7,5,3,4,1,2",1.048841
59,1890,36272,2048,4126,"1,2,9,2,3,11,6,1,5,8,10,5,2,1,7,2",1.842266
60,963,16264,1024,2120,"1,8,1,3,5,7,9,5,1,5,10,4,6,2,1,2",1.087256
61,916,15648,1024,2024,"2,1,3,4,4,6,9,6,3,8,10,5,2,1,2,3",1.033864
62,1858,35864,2048,4090,"2,5,2,1,4,10,8,2,5,6,9,6,3,11,4,2",1.682700
63,1764,34528,2048,3902,"1,4,5,1,3,9,7,3,4,11,5,1,2,6,10,2",1.602769
64,1712,33764,2048,3752,"3,6,5,1,10,11,9,2,2,1,5,3,1,2,1,2",1.618156
65,935,16084,1024,2094,"8,1,2,9,1,5,6,7,3,2,5,1,2,10,4,2",1.044704
66,1438,27280,2048,3110,"1,6,2,4,5,7,11,2,4,9,8,1,1,2,4,2",1.464503
67,1689,32492,2048,3672,"1,10,5,2,3,8,7,3,5,6,5,4,3,11,3,1",1.645857
68,1882,36072,2048,4088,"2,9,2,1,3,7,5,2,5,8,10,3,3,11,4,1",1.714400
69,974,16280,1024,2122,"2,4,3,2,9,10,5,8,4,6,7,2,2,5,4,1",1.102219
70,1317,25628,2048,2884,"2,1,2,9,4,3,6,1,2,7,11,4,1,6,3,1",1.390627
71,742,12280,1024,1616,"3,2,7,4,2,5,6,2,1,4,8,5,3,10,4,1",1.003705
72,961,16168,1024,2100,"3,4,3,2,4,6,9,7,10,8,4,3,2,1,5,1",1.122307
73,1908,36560,2048,4198,"1,3,6,11,2,7,8,5,4,9,10,6,1,2,1,5",1.681514
74,2338,51364,4096,5162,"1,4,8,1,2,7,5,4,1,6,12,9,2,3,2,4",2.044154
75,1435,27292,2048,3128,"2,8,4,2,3,4,11,5,2,7,6,4,1,4,9,1",1.510364
76,1419,27264,2048,3140,"2,6,3,1,3,8,5,4,7,5,9,3,4,11,2,1",1.520891
77,1435,27312,2048,3132,"1,4,2,3,3,7,11,5,5,3,8,6,2,9,3,1",1.493753
78,972,16368,1024,2136,"3,6,3,2,10,7,6,3,2,5,8,2,1,4,9,1",1.122092
79,957,16216,1024,2124,"1,4,3,5,8,9,6,7,4,5,10,4,2,3,2,1",1.081254
80,1432,27248,2048,3112,"3,2,7,6,9,5,8,4,1,3,11,3,2,4,1,2",1.470785
81,1889,36312,2048,4156,"2,9,5,2,3,7,10,4,8,5,6,3,11,1,4,1",1.685844
82,1633,32164,2048,3632,"2,3,5,4,1,7,10,11,4,6,4,2,2,8,3,1",1.584251
83,1781,34624,2048,3906,"1,2,7,5,3,1,11,1,10,5,6,5,2,3,9,2",1.710818
84,1427,27320,2048,3138,"3,9,5,2,5,11,8,1,2,6,7,5,1,2,3,1",1.501315
85,1428,27348,2048,3154,"1,2,5,1,3,8,7,3,5,6,11,9,3,5,4,1",1.442990
86,903,15424,1024,1982,"2,3,10,3,8,4,9,4,3,5,6,2,2,3,4,1",1.079920
87,862,15016,1024,1884,"2,10,1,3,5,2,9,2,2,4,8,1,1,3,1,2",1.037414
88,922,15884,1024,2030,"1,2,3,1,9,10,1,2,3,7,6,1,1,8,3,2",1.121013
89,1869,36096,2048,4114,"1,5,4,2,11,9,8,5,5,7,10,4,1,2,1,2",1.704975
90,958,16208,1024,2122,"3,7,2,1,4,6,9,3,3,8,5,4,2,5,10,3",1.050605
91,1426,27288,2048,3136,"3,5,2,1,6,4,8,4,2,7,11,5,1,3,9,2",1.480721
92,1855,36104,2048,4124,"2,4,3,1,5,11,6,4,2,9,7,2,8,10,2,1",1.676577
93,1415,27216,2048,3132,"4,5,2,1,11,7,4,6,2,8,9,4,1,3,4,3",1.509696
94,1780,34544,2048,3884,"4,1,11,4,3,5,7,3,9,10,6,1,1,4,1,2",1.701989
95,1379,26572,2048,3010,"3,5,3,2,11,6,9,4,3,8,3,2,2,5,2,1",1.469211
