TDL2048-Demo
alpha = 0.1
total = 100000
seed = 0
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
Game#   tile    %achieved %with max tile
1000    avg = 7555.8    max = 28108
        64      100%    (0.3%)
        128     99.7%   (6.2%)
        256     93.5%   (23.2%)
        512     70.3%   (48.2%)
        1024    22.1%   (21.8%)
        2048    0.3%    (0.3%)
2000    avg = 10928.6   max = 28176
        128     100%    (0.7%)
        256     99.3%   (8%)
        512     91.3%   (43.2%)
        1024    48.1%   (45.8%)
        2048    2.3%    (2.3%)
3000    avg = 12607     max = 34028
        64      100%    (0.1%)
        128     99.9%   (0.4%)
        256     99.5%   (4.7%)
        512     94.8%   (32%)
        1024    62.8%   (57.8%)
        2048    5%      (5%)
4000    avg = 14242.6   max = 34856
        64      100%    (0.1%)
        128     99.9%   (0.3%)
        256     99.6%   (3%)
        512     96.6%   (24.9%)
        1024    71.7%   (63%)
        2048    8.7%    (8.7%)
5000    avg = 16365.2   max = 41432
        128     100%    (0.2%)
        256     99.8%   (2.7%)
        512     97.1%   (20.1%)
        1024    77%     (59.7%)
        2048    17.3%   (17.3%)
6000    avg = 17745.1   max = 49856
        128     100%    (0.3%)
        256     99.7%   (2.2%)
        512     97.5%   (16.7%)
        1024    80.8%   (59%)
        2048    21.8%   (21.6%)
        4096    0.2%    (0.2%)
7000    avg = 19309.5   max = 51356
        256     100%    (1.2%)
        512     98.8%   (14.8%)
        1024    84%     (56.3%)
        2048    27.7%   (27.2%)
        4096    0.5%    (0.5%)
8000    avg = 20031.5   max = 62628
        128     100%    (0.2%)
        256     99.8%   (0.7%)
        512     99.1%   (14.2%)
        1024    84.9%   (54.8%)
        2048    30.1%   (29%)
        4096    1.1%    (1.1%)
9000    avg = 21578.1   max = 60984
        128     100%    (0.1%)
        256     99.9%   (1.7%)
        512     98.2%   (11.5%)
        1024    86.7%   (49.6%)
        2048    37.1%   (35.6%)
        4096    1.5%    (1.5%)
10000   avg = 22436.6   max = 69792
        128     100%    (0.2%)
        256     99.8%   (1.5%)
        512     98.3%   (10.3%)
        1024    88%     (47.5%)
        2048    40.5%   (38.8%)
        4096    1.7%    (1.7%)
11000   avg = 23439.1   max = 67308
        128     100%    (0.1%)
        256     99.9%   (1.3%)
        512     98.6%   (10.9%)
        1024    87.7%   (43.6%)
        2048    44.1%   (40.8%)
        4096    3.3%    (3.3%)
12000   avg = 25115.3   max = 76244
        128     100%    (0.1%)
        256     99.9%   (0.7%)
        512     99.2%   (9.4%)
        1024    89.8%   (41.5%)
        2048    48.3%   (44%)
        4096    4.3%    (4.3%)
13000   avg = 25860.3   max = 73208
        256     100%    (0.8%)
        512     99.2%   (10.1%)
        1024    89.1%   (37.8%)
        2048    51.3%   (45.6%)
        4096    5.7%    (5.7%)
14000   avg = 26980.1   max = 79328
        256     100%    (0.8%)
        512     99.2%   (7%)
        1024    92.2%   (37.9%)
        2048    54.3%   (47.3%)
        4096    7%      (7%)
15000   avg = 27883.7   max = 80780
        128     100%    (0.1%)
        256     99.9%   (1.1%)
        512     98.8%   (7%)
        1024    91.8%   (36.9%)
        2048    54.9%   (46.8%)
        4096    8.1%    (8.1%)
16000   avg = 27650.9   max = 82216
        256     100%    (0.7%)
        512     99.3%   (6.7%)
        1024    92.6%   (37.4%)
        2048    55.2%   (48.6%)
        4096    6.6%    (6.6%)
17000   avg = 30357.1   max = 80556
        256     100%    (0.8%)
        512     99.2%   (6.7%)
        1024    92.5%   (31.4%)
        2048    61.1%   (49.8%)
        4096    11.3%   (11.3%)
18000   avg = 29743.8   max = 103396
        128     100%    (0.3%)
        256     99.7%   (0.7%)
        512     99%     (6.3%)
        1024    92.7%   (32.4%)
        2048    60.3%   (50.8%)
        4096    9.5%    (9.4%)
        8192    0.1%    (0.1%)
19000   avg = 30695.3   max = 81204
        64      100%    (0.1%)
        256     99.9%   (0.9%)
        512     99%     (5.1%)
        1024    93.9%   (32.5%)
        2048    61.4%   (50.8%)
        4096    10.6%   (10.6%)
20000   avg = 31542.1   max = 82880
        128     100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (6.9%)
        1024    92.6%   (27.5%)
        2048    65.1%   (53.7%)
        4096    11.4%   (11.4%)
21000   avg = 32452     max = 110004
        128     100%    (0.1%)
        256     99.9%   (0.6%)
        512     99.3%   (5.4%)
        1024    93.9%   (28.2%)
        2048    65.7%   (51.8%)
        4096    13.9%   (13.7%)
        8192    0.2%    (0.2%)
22000   avg = 33152     max = 82440
        256     100%    (0.5%)
        512     99.5%   (5.6%)
        1024    93.9%   (26.6%)
        2048    67.3%   (52.6%)
        4096    14.7%   (14.7%)
23000   avg = 34524.8   max = 112404
        128     100%    (0.1%)
        256     99.9%   (0.6%)
        512     99.3%   (5.1%)
        1024    94.2%   (25.7%)
        2048    68.5%   (52.6%)
        4096    15.9%   (15.7%)
        8192    0.2%    (0.2%)
24000   avg = 35087.2   max = 113252
        256     100%    (0.5%)
        512     99.5%   (4.8%)
        1024    94.7%   (23.1%)
        2048    71.6%   (53.2%)
        4096    18.4%   (18.3%)
        8192    0.1%    (0.1%)
25000   avg = 35360.4   max = 116520
        256     100%    (1.1%)
        512     98.9%   (3.9%)
        1024    95%     (22.7%)
        2048    72.3%   (56.7%)
        4096    15.6%   (15.2%)
        8192    0.4%    (0.4%)
26000   avg = 36703     max = 104568
        256     100%    (0.6%)
        512     99.4%   (4.9%)
        1024    94.5%   (21.7%)
        2048    72.8%   (52%)
        4096    20.8%   (20.6%)
        8192    0.2%    (0.2%)
27000   avg = 38282     max = 115280
        256     100%    (0.3%)
        512     99.7%   (3.6%)
        1024    96.1%   (20.7%)
        2048    75.4%   (53.4%)
        4096    22%     (21.7%)
        8192    0.3%    (0.3%)
28000   avg = 38809.5   max = 124640
        128     100%    (0.2%)
        256     99.8%   (0.3%)
        512     99.5%   (4.5%)
        1024    95%     (19.4%)
        2048    75.6%   (52.1%)
        4096    23.5%   (22.8%)
        8192    0.7%    (0.7%)
29000   avg = 38401     max = 111420
        64      100%    (0.1%)
        256     99.9%   (0.5%)
        512     99.4%   (4.1%)
        1024    95.3%   (19.6%)
        2048    75.7%   (53.7%)
        4096    22%     (21.3%)
        8192    0.7%    (0.7%)
30000   avg = 38962.1   max = 127612
        128     100%    (0.1%)
        256     99.9%   (0.7%)
        512     99.2%   (3.4%)
        1024    95.8%   (20.6%)
        2048    75.2%   (51.3%)
        4096    23.9%   (23%)
        8192    0.9%    (0.9%)
31000   avg = 41610.2   max = 124856
        256     100%    (0.1%)
        512     99.9%   (2.7%)
        1024    97.2%   (17.7%)
        2048    79.5%   (50.6%)
        4096    28.9%   (28.1%)
        8192    0.8%    (0.8%)
32000   avg = 39470.7   max = 122736
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (4.9%)
        1024    94.7%   (19.4%)
        2048    75.3%   (49.3%)
        4096    26%     (25.1%)
        8192    0.9%    (0.9%)
33000   avg = 41007.3   max = 125856
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (4%)
        1024    95.6%   (18.2%)
        2048    77.4%   (49.7%)
        4096    27.7%   (27%)
        8192    0.7%    (0.7%)
34000   avg = 41822.9   max = 136296
        256     100%    (0.7%)
        512     99.3%   (3.2%)
        1024    96.1%   (15.8%)
        2048    80.3%   (52.5%)
        4096    27.8%   (27.2%)
        8192    0.6%    (0.6%)
35000   avg = 41351.4   max = 116504
        128     100%    (0.1%)
        256     99.9%   (0.6%)
        512     99.3%   (3.6%)
        1024    95.7%   (16.5%)
        2048    79.2%   (51%)
        4096    28.2%   (27.2%)
        8192    1%      (1%)
36000   avg = 43640.5   max = 121884
        256     100%    (0.7%)
        512     99.3%   (3.3%)
        1024    96%     (14.5%)
        2048    81.5%   (48%)
        4096    33.5%   (32.5%)
        8192    1%      (1%)
37000   avg = 43279     max = 130768
        256     100%    (0.4%)
        512     99.6%   (3.9%)
        1024    95.7%   (16%)
        2048    79.7%   (46.1%)
        4096    33.6%   (32.3%)
        8192    1.3%    (1.3%)
38000   avg = 44090.6   max = 131716
        128     100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (4%)
        1024    95.7%   (15.1%)
        2048    80.6%   (46.3%)
        4096    34.3%   (33%)
        8192    1.3%    (1.3%)
39000   avg = 44839.2   max = 147112
        256     100%    (0.3%)
        512     99.7%   (3%)
        1024    96.7%   (13.8%)
        2048    82.9%   (50.6%)
        4096    32.3%   (30.5%)
        8192    1.8%    (1.8%)
40000   avg = 44347.3   max = 133412
        128     100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.9%)
        1024    97.9%   (15.1%)
        2048    82.8%   (49.2%)
        4096    33.6%   (32.9%)
        8192    0.7%    (0.7%)
41000   avg = 45275.3   max = 129684
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (3.1%)
        1024    96.6%   (14.7%)
        2048    81.9%   (45.8%)
        4096    36.1%   (34.8%)
        8192    1.3%    (1.3%)
42000   avg = 46539.2   max = 134688
        128     100%    (0.1%)
        256     99.9%   (0.6%)
        512     99.3%   (2.8%)
        1024    96.5%   (13.9%)
        2048    82.6%   (44.6%)
        4096    38%     (36%)
        8192    2%      (2%)
43000   avg = 47596.9   max = 153280
        256     100%    (0.3%)
        512     99.7%   (3.6%)
        1024    96.1%   (11.7%)
        2048    84.4%   (44%)
        4096    40.4%   (38.2%)
        8192    2.2%    (2.2%)
44000   avg = 46853.3   max = 157912
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.9%)
        1024    97.8%   (14.1%)
        2048    83.7%   (43.4%)
        4096    40.3%   (39.3%)
        8192    1%      (1%)
45000   avg = 47354.6   max = 157996
        512     100%    (1.7%)
        1024    98.3%   (14%)
        2048    84.3%   (44.1%)
        4096    40.2%   (38.3%)
        8192    1.9%    (1.9%)
46000   avg = 48272.7   max = 156384
        256     100%    (0.3%)
        512     99.7%   (3.1%)
        1024    96.6%   (13.2%)
        2048    83.4%   (40.3%)
        4096    43.1%   (41.4%)
        8192    1.7%    (1.7%)
47000   avg = 49148.3   max = 133788
        256     100%    (0.7%)
        512     99.3%   (2.4%)
        1024    96.9%   (11.8%)
        2048    85.1%   (41.2%)
        4096    43.9%   (41.3%)
        8192    2.6%    (2.6%)
48000   avg = 48723.7   max = 135820
        128     100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (2.8%)
        1024    96.7%   (13.5%)
        2048    83.2%   (39.6%)
        4096    43.6%   (41.1%)
        8192    2.5%    (2.5%)
49000   avg = 49744.3   max = 136420
        128     100%    (0.2%)
        256     99.8%   (0.6%)
        512     99.2%   (2.7%)
        1024    96.5%   (12.3%)
        2048    84.2%   (37.4%)
        4096    46.8%   (44.2%)
        8192    2.6%    (2.6%)
50000   avg = 50995.3   max = 156032
        256     100%    (0.4%)
        512     99.6%   (2.3%)
        1024    97.3%   (11.8%)
        2048    85.5%   (37.1%)
        4096    48.4%   (45.9%)
        8192    2.5%    (2.5%)
51000   avg = 51974.6   max = 152732
        256     100%    (0.1%)
        512     99.9%   (1.8%)
        1024    98.1%   (11.7%)
        2048    86.4%   (36.4%)
        4096    50%     (46.9%)
        8192    3.1%    (3.1%)
52000   avg = 51242.5   max = 134720
        512     100%    (2%)
        1024    98%     (10.9%)
        2048    87.1%   (37.4%)
        4096    49.7%   (47.9%)
        8192    1.8%    (1.8%)
53000   avg = 51545.6   max = 166900
        256     100%    (0.4%)
        512     99.6%   (2.4%)
        1024    97.2%   (11.7%)
        2048    85.5%   (35.6%)
        4096    49.9%   (47.2%)
        8192    2.7%    (2.7%)
54000   avg = 53075.1   max = 161316
        256     100%    (0.1%)
        512     99.9%   (1.7%)
        1024    98.2%   (11.4%)
        2048    86.8%   (36.5%)
        4096    50.3%   (46.9%)
        8192    3.4%    (3.4%)
55000   avg = 52674     max = 153032
        128     100%    (0.1%)
        256     99.9%   (0.5%)
        512     99.4%   (1.7%)
        1024    97.7%   (10.7%)
        2048    87%     (35.2%)
        4096    51.8%   (49.2%)
        8192    2.6%    (2.6%)
56000   avg = 52379.8   max = 174616
        256     100%    (0.4%)
        512     99.6%   (2.7%)
        1024    96.9%   (11.2%)
        2048    85.7%   (32.6%)
        4096    53.1%   (50.3%)
