Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration,Seconds
0,113,772,64,212,111,"1,3,2,1,2,6,3,6,3,2,4,2,4,1,2,1",0.011
1,91,568,64,178,90,"2,5,2,1,1,2,3,2,6,3,1,4,1,4,3,1",0
2,23,72,16,49,22,"0,0,0,2,0,0,0,1,0,0,1,4,0,2,3,2",0
3,5,4,4,20,4,"0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0",0
4,97,604,64,186,96,"2,1,3,2,3,5,4,1,2,6,3,2,1,3,2,4",0
5,155,1068,64,274,153,"2,4,3,1,6,2,6,3,2,6,4,2,1,2,3,1",0
6,147,1016,64,276,145,"1,2,1,1,4,6,5,2,3,5,6,4,2,4,3,1",0
7,4,0,4,20,3,"0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0",0
8,185,1428,128,330,183,"1,2,4,1,3,7,5,2,2,5,6,4,1,2,3,2",0
9,118,756,64,228,116,"2,3,4,1,4,2,5,3,3,6,4,2,1,2,3,5",0
10,47,280,32,104,46,"1,0,0,0,2,1,0,0,3,5,2,0,5,1,3,2",0
11,60,268,32,122,59,"2,3,1,2,3,4,3,1,2,1,4,3,1,2,5,1",0
12,124,900,64,240,122,"1,2,4,2,3,5,6,3,4,3,2,1,1,2,1,6",0
13,280,2828,256,514,277,"3,4,3,1,4,8,7,2,2,3,4,3,1,5,2,1",0
14,62,296,32,130,61,"1,2,3,1,2,3,1,4,3,4,2,5,2,1,4,1",0
15,132,1060,128,249,130,"2,2,4,3,3,4,5,7,0,1,4,1,0,0,1,3",0
16,94,640,64,180,93,"1,5,1,0,6,3,0,0,2,5,4,0,1,3,2,1",0
17,181,1460,128,336,179,"2,1,5,2,4,6,4,7,1,2,4,1,3,5,1,2",0
18,19,60,16,44,18,"0,1,4,1,0,0,1,3,0,0,0,2,0,0,0,0",0
19,90,588,64,172,89,"2,1,3,0,5,3,1,0,3,5,2,0,1,6,1,0",0.001
20,176,1468,128,320,174,"1,6,1,3,2,4,7,6,1,2,3,3,2,1,1,1",0
21,203,2132,256,379,200,"2,1,3,2,2,1,6,3,0,3,8,2,0,0,2,3",0
22,90,584,64,174,89,"0,0,2,5,0,1,4,2,0,3,6,3,2,4,3,2",0
23,226,2284,256,434,223,"3,2,4,1,4,3,8,3,3,4,6,1,2,1,4,2",0.002
24,218,2080,256,392,215,"2,4,2,3,1,3,5,4,3,8,3,2,2,4,2,1",0
25,148,1028,64,266,146,"1,3,5,2,2,6,2,6,4,3,5,2,1,2,4,1",0
26,153,1280,128,296,151,"2,1,2,1,2,4,7,1,4,5,2,1,2,3,6,2",0
27,71,336,32,136,70,"2,4,3,1,3,1,5,4,2,4,3,2,1,3,2,1",0
28,44,208,32,87,43,"0,0,0,0,2,0,0,0,1,5,2,1,3,4,3,2",0
29,223,2360,256,434,220,"1,2,4,1,4,1,8,3,2,6,2,4,1,2,5,1",0
30,98,608,64,188,97,"1,2,4,1,1,3,5,1,4,6,4,3,1,3,2,1",0
