Game Number,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration
0,16420,1024,2072,1020,"4,16,4,256,64,1024,128,4,4,8,32,8,2,512,4,2"
1,11772,1024,1490,729,"4,8,4,2,1024,256,16,32,16,32,64,8,2,4,16,2"
2,7340,512,1082,525,"2,4,32,8,16,32,512,4,8,256,64,2,2,4,128,8"
3,12384,1024,1580,774,"4,64,4,2,16,256,8,4,8,32,128,16,4,1024,8,2"
4,7340,512,1082,525,"4,2,8,4,32,512,256,8,8,64,128,4,2,32,16,2"
5,12736,1024,1644,806,"64,8,32,4,4,256,128,64,8,1024,32,4,2,4,8,2"
6,6668,512,984,476,"2,4,8,16,256,64,32,8,16,512,16,4,8,4,32,2"
7,3480,256,616,292,"4,8,4,2,64,16,64,128,8,2,256,8,2,32,16,2"
8,7936,512,1172,570,"16,8,4,2,128,64,128,16,4,512,256,4,2,16,4,8"
9,7388,512,1096,532,"8,32,8,4,32,64,512,16,16,256,8,4,2,4,128,2"
10,7920,512,1166,567,"2,128,16,4,4,256,512,16,64,16,8,4,2,4,128,2"
11,7308,512,1080,524,"2,16,8,4,8,512,16,32,256,128,64,8,4,16,4,2"
12,7552,512,1118,543,"4,32,16,4,8,256,64,512,64,128,16,2,2,4,2,4"
13,14868,1024,1880,924,"32,16,8,2,8,128,64,16,512,32,8,1024,8,16,4,2"
14,12380,1024,1578,773,"4,8,256,4,16,1024,64,2,8,128,32,4,2,16,8,2"
15,7420,512,1098,533,"8,32,4,2,32,128,512,32,4,8,64,8,2,256,4,2"
16,7372,512,1090,529,"8,16,32,2,256,128,64,4,4,8,512,16,2,32,2,4"
17,15360,1024,1940,954,"128,16,4,2,4,512,64,16,8,16,1024,4,4,8,128,2"
18,7264,512,1068,518,"4,64,256,4,8,4,32,16,512,128,8,4,2,8,16,2"
19,6656,512,974,471,"4,2,8,4,32,64,32,2,4,256,512,8,32,8,4,2"
20,12340,1024,1568,768,"4,64,4,256,8,32,8,4,4,1024,128,16,2,8,4,2"
21,14728,1024,1840,904,"8,4,8,2,4,1024,128,512,32,64,32,2,2,8,2,8"
22,7360,512,1090,529,"8,4,32,8,32,64,512,4,4,8,256,16,2,128,8,4"
