Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,846,14524,1024,1856,"2,7,1,2,1,6,3,1,2,9,10,4,4,6,2,1",0.508823
1,923,15884,1024,2044,"2,5,2,1,1,9,10,7,2,5,8,2,1,2,5,1",0.472954
2,941,16036,1024,2072,"1,3,1,2,2,9,5,1,4,8,6,10,3,7,3,1",0.451774
3,917,15628,1024,2006,"1,2,9,2,5,6,2,3,4,8,6,1,1,10,3,2",0.487616
4,466,6844,512,1014,"4,1,5,1,1,5,7,3,9,8,3,2,2,1,2,1",0.319966
5,1436,27336,2048,3138,"1,11,5,1,2,7,8,2,5,9,6,3,1,2,3,5",0.605101
6,974,16300,1024,2122,"1,3,8,1,6,5,9,3,3,7,10,5,2,1,5,3",0.457861
7,1420,27212,2048,3114,"1,9,4,2,6,8,11,4,3,5,7,2,2,1,4,1",0.619085
8,1190,23224,2048,2616,"1,2,8,3,3,11,7,2,4,6,5,4,3,4,2,1",0.554739
9,1408,26920,2048,3046,"2,1,3,2,1,11,8,4,9,7,5,3,2,4,2,1",0.623367
10,956,16116,1024,2098,"5,1,4,2,3,9,10,7,6,8,3,2,1,2,5,1",0.443106
11,972,16364,1024,2130,"2,1,3,1,4,10,7,2,6,8,9,6,2,3,5,1",0.479183
12,947,16092,1024,2086,"1,8,3,1,3,5,4,2,7,6,10,1,4,3,9,2",0.454280
13,967,16268,1024,2112,"1,3,7,2,2,9,8,3,3,6,10,6,2,3,4,1",0.465410
14,915,15808,1024,2038,"2,10,5,1,3,8,7,2,1,9,5,3,2,1,4,2",0.444419
15,935,15804,1024,2038,"1,5,2,1,2,7,3,2,5,10,4,1,3,8,9,2",0.446955
16,905,15420,1024,1992,"1,3,4,2,2,6,9,5,5,8,10,3,3,4,2,1",0.433789
17,1183,23224,2048,2618,"2,1,3,5,3,5,8,3,2,6,7,11,1,4,2,1",0.570760
18,494,7044,512,1076,"2,4,3,4,9,3,7,3,3,6,5,2,1,8,3,1",0.307217
19,1764,34440,2048,3860,"2,1,3,1,3,7,4,2,9,10,6,11,1,5,2,1",0.685851
20,465,6948,512,1036,"1,2,8,2,2,5,9,1,1,6,7,2,3,1,2,3",0.311206
21,552,9912,1024,1232,"1,10,2,1,2,3,1,5,1,2,7,1,2,1,2,3",0.376619
22,1007,16572,1024,2176,"1,5,10,2,2,9,7,6,3,6,8,5,5,3,2,1",0.500615
23,1212,23432,2048,2634,"2,1,4,1,4,6,11,3,1,8,4,1,6,1,7,2",0.550566
24,750,12780,1024,1634,"1,2,1,3,2,8,2,1,10,4,8,3,2,5,3,2",0.431710
25,449,6752,512,998,"2,8,1,2,1,9,2,1,2,5,3,5,1,7,2,1",0.310996
26,970,16228,1024,2098,"2,1,3,1,1,6,9,2,4,10,7,5,5,8,3,2",0.506019
27,941,16044,1024,2068,"1,2,9,4,3,6,7,10,1,3,8,1,2,1,2,5",0.472525
28,834,14396,1024,1840,"1,2,4,3,2,6,7,1,1,5,9,5,2,1,2,10",0.419975
29,1059,16408,1024,2148,"3,10,2,1,4,5,7,3,2,6,8,6,1,9,4,3",0.444654
30,806,14076,1024,1776,"2,1,3,1,3,5,9,2,2,3,10,5,1,7,1,2",0.440853
31,1786,34724,2048,3934,"1,5,3,1,2,6,11,2,9,4,10,6,1,3,7,4",0.727316
32,927,15936,1024,2052,"3,4,2,1,1,6,7,4,2,9,10,3,1,8,2,1",0.460761
33,952,16236,1024,2118,"10,2,4,2,3,9,6,8,2,6,7,2,1,2,3,4",0.459321
34,688,11940,1024,1554,"1,3,5,2,2,6,7,1,10,2,8,3,2,1,3,2",0.391699
35,875,15264,1024,1944,"2,1,6,1,1,10,9,2,5,3,4,8,2,1,2,3",0.427713
36,960,16120,1024,2070,"1,5,3,2,10,7,8,4,2,3,6,1,1,2,9,2",0.461577
37,859,14588,1024,1890,"2,5,4,2,5,6,7,5,3,10,4,3,2,9,2,1",0.428716
38,1762,34484,2048,3880,"1,5,3,1,3,9,6,2,10,7,5,11,2,1,3,1",0.714469
39,1416,27308,2048,3138,"4,2,1,2,7,9,6,3,1,11,4,1,2,6,8,3",0.581467
40,1434,27324,2048,3142,"3,4,6,3,2,8,7,5,1,5,11,4,2,3,9,2",0.655782
41,1340,26408,2048,2996,"1,3,2,1,6,8,5,2,4,9,11,3,2,1,5,1",0.614783
42,946,16084,1024,2078,"1,10,4,1,4,5,9,7,1,8,2,3,3,1,6,1",0.462449
43,878,15280,1024,1950,"2,6,3,2,1,2,8,10,5,4,9,3,1,3,2,1",0.445721
44,1183,23408,2048,2624,"1,3,2,4,7,8,1,3,2,11,2,1,1,2,7,3",0.560313
45,722,12132,1024,1596,"4,2,1,2,5,10,5,1,3,7,8,2,1,6,4,1",0.400005
46,1372,26676,2048,3038,"1,4,6,1,2,3,9,2,11,5,6,8,4,2,1,2",0.625055
47,994,16300,1024,2120,"2,4,6,1,9,8,3,2,3,6,10,4,1,2,7,3",0.512360
