Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles, Number of Merges, Losing Configuration,seconds
0,950,16168,1024,2112,935,"1,6,5,2,3,8,2,4,4,5,10,7,3,9,2,1",12.995301
1,1889,36260,2048,4134,1874,"3,11,2,1,6,5,4,9,4,10,8,1,1,7,4,2",20.200903
2,951,16120,1024,2092,936,"1,2,4,2,10,9,5,3,4,6,8,2,2,7,4,1",12.917066
3,1701,32488,2048,3650,1686,"3,10,3,1,1,7,11,5,4,6,8,4,1,5,3,2",20.835212
4,1414,27172,2048,3106,1399,"1,9,3,1,2,6,8,2,11,7,5,4,2,4,3,1",18.174141
5,1843,35596,2048,4024,1828,"5,6,3,2,2,10,8,11,3,5,9,4,2,1,3,1",21.181098
6,1408,27152,2048,3112,1393,"2,3,4,2,1,6,3,8,3,5,9,11,2,4,7,1",18.023527
7,1673,32496,2048,3674,1658,"1,2,10,1,4,5,11,3,2,6,7,6,1,8,4,2",19.017620
8,962,16216,1024,2114,947,"2,4,2,1,3,8,5,6,5,7,9,2,2,10,4,3",13.025778
9,1742,34308,2048,3852,1727,"2,6,4,3,7,3,9,11,2,10,4,2,1,2,3,1",20.052581
10,1864,36168,2048,4124,1849,"2,1,3,11,1,10,9,2,6,5,8,5,7,1,2,1",21.221619
11,1425,27264,2048,3124,1410,"2,5,2,1,3,11,9,3,2,5,7,8,1,6,4,2",18.318618
12,1677,32488,2048,3676,1662,"3,10,3,1,6,7,4,6,4,8,11,4,2,4,2,1",20.523619
13,1847,35632,2048,4036,1832,"2,9,5,3,4,6,4,8,1,5,10,3,3,11,2,1",21.336078
14,1870,36164,2048,4124,1855,"2,7,2,1,8,6,11,4,5,9,10,2,2,3,4,1",20.892609
15,1850,35832,2048,4088,1835,"9,4,1,2,8,10,5,6,4,6,11,2,2,5,3,1",21.060274
16,955,16144,1024,2102,940,"1,4,7,3,2,9,5,4,8,10,6,3,2,3,4,2",12.893417
17,1442,27404,2048,3154,1427,"1,3,5,3,5,7,6,4,9,8,11,3,1,2,5,1",17.927670
18,1387,27000,2048,3098,1372,"4,1,2,1,11,8,5,3,2,5,7,2,4,9,5,1",17.412668
19,1857,36068,2048,4114,1842,"3,4,2,1,2,7,6,10,4,11,4,9,2,8,3,2",20.260625
20,1828,35640,2048,4038,1813,"2,1,2,5,6,11,6,3,3,10,8,2,1,2,9,1",21.397241
21,939,16036,1024,2068,924,"1,3,2,1,7,10,4,2,9,6,5,1,3,8,1,2",13.146700
22,953,16112,1024,2082,938,"4,8,3,1,1,2,9,2,10,6,7,4,1,5,3,2",12.860437
23,1424,27312,2048,3142,1409,"2,3,7,1,9,5,6,3,5,8,11,5,3,1,2,1",18.379896
24,1835,35724,2048,4072,1820,"2,10,5,4,4,6,11,6,2,8,4,3,1,2,9,1",21.399173
25,1776,34576,2048,3904,1761,"4,3,2,1,9,5,11,10,2,6,7,3,5,4,2,1",20.386232
26,2393,51636,4096,5186,2378,"2,5,3,2,5,8,4,3,9,7,12,6,2,4,2,1",25.575165
27,1767,34472,2048,3874,1752,"4,3,5,3,6,7,10,2,1,9,11,1,2,1,2,4",20.053307
28,1792,34648,2048,3912,1777,"3,10,3,2,5,6,4,7,4,11,9,3,1,3,5,1",20.281982
29,939,15976,1024,2050,924,"2,3,7,1,3,8,6,2,2,9,4,1,1,3,10,3",12.854309
30,1412,27164,2048,3106,1397,"1,3,7,6,2,9,11,4,1,4,5,1,2,8,3,2",17.704094
31,1883,36284,2048,4150,1868,"2,1,4,1,5,9,7,11,4,10,8,5,1,6,3,2",21.076937
32,1777,34556,2048,3886,1762,"2,4,2,1,5,9,10,3,6,11,5,2,1,2,7,1",19.655765
33,1860,36116,2048,4124,1845,"11,3,2,10,6,9,7,3,4,5,8,2,3,1,3,1",21.296744
34,1643,32328,2048,3658,1628,"1,2,10,2,6,7,8,4,4,6,4,11,3,1,2,1",19.860647
35,1859,36124,2048,4128,1844,"1,6,7,3,4,10,8,5,2,11,9,2,1,2,4,3",20.346124
36,921,15856,1024,2048,906,"1,5,2,1,8,4,5,3,1,9,7,1,10,4,3,2",13.077785
37,1663,32460,2048,3680,1648,"2,11,4,1,3,4,5,6,2,8,7,3,1,10,2,6",19.850088
38,1861,36020,2048,4104,1846,"1,2,5,2,2,4,7,8,9,10,5,4,3,4,11,1",19.710548
39,1665,32324,2048,3638,1650,"7,1,2,3,5,6,3,5,2,11,8,1,1,10,4,3",20.483882
40,1440,27424,2048,3170,1425,"2,4,2,1,5,6,11,5,4,9,8,2,2,7,5,4",17.921072
41,1893,36312,2048,4148,1878,"3,5,3,1,9,7,10,8,4,11,6,2,2,5,3,1",21.200124
42,1822,35332,2048,3972,1807,"2,3,4,1,5,10,11,5,2,8,9,2,1,3,2,4",20.023182
43,1430,27480,2048,3184,1415,"1,6,3,2,2,7,11,9,5,8,6,5,2,4,3,1",17.412078
44,1803,34740,2048,3930,1788,"3,10,3,2,5,6,5,4,3,11,9,3,2,7,5,1",20.511246
45,1769,34680,2048,3940,1754,"3,4,2,1,4,6,10,3,2,7,6,5,1,11,9,3",20.455700
46,1636,32084,2048,3582,1621,"1,4,11,1,2,3,10,6,1,7,8,2,2,1,4,1",20.215103
47,1865,36128,2048,4116,1850,"9,3,6,2,3,11,5,4,1,7,8,2,2,10,2,1",20.920173
48,1914,36564,2048,4188,1899,"2,6,2,1,10,8,5,3,9,6,11,7,1,2,5,2",20.329000
49,971,16428,1024,2160,956,"2,10,2,1,6,9,3,4,7,5,8,5,2,6,3,1",13.289253
50,1441,27344,2048,3132,1426,"1,2,4,1,2,6,8,2,5,4,9,11,2,7,3,5",16.860563
51,943,16068,1024,2076,928,"1,2,1,2,4,8,5,4,2,10,7,1,1,9,6,3",13.292085
52,967,16280,1024,2122,952,"2,5,2,1,8,6,9,10,3,7,5,1,1,5,4,2",13.671382
53,1659,32316,2048,3648,1644,"2,4,5,2,1,8,10,3,5,7,6,4,1,2,11,3",19.896900
