Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration,Seconds
1,7151,172488,8192,15770,7079,"1,11,2,8,2,13,10,5,12,4,6,4,1,2,3,1",0.013171
2,10378,275524,16384,22746,10274,"1,11,4,3,2,3,7,1,4,12,3,4,2,14,1,2",0.014234
3,9766,260988,16384,21482,9668,"1,2,1,3,3,4,5,4,4,6,8,6,12,9,14,1",0.012417
4,7137,172420,8192,15766,7065,"11,8,3,13,1,6,12,3,10,3,5,1,2,4,1,2",0.008621
5,10825,284716,16384,23828,10716,"1,5,14,1,2,4,6,10,1,2,7,12,2,1,4,11",0.013238
6,7304,175376,8192,16134,7230,"5,3,1,2,9,6,3,13,10,7,12,2,1,11,3,1",0.008499
7,11562,312292,16384,25396,11446,"5,3,2,1,2,7,6,4,1,5,14,9,3,2,13,2",0.013799
8,11085,289608,16384,24476,10974,"3,2,1,2,9,4,5,3,14,8,6,4,1,11,12,10",0.013389
9,10652,280192,16384,23408,10545,"5,4,1,2,9,6,2,1,11,7,4,14,12,6,5,2",0.012757
10,7980,217840,16384,17582,7900,"1,2,3,5,3,5,4,7,14,7,6,2,1,9,8,1",0.009521
11,3088,67900,4096,6764,3057,"3,5,6,2,2,4,7,8,1,6,11,2,2,5,12,1",0.003678
12,3251,71392,4096,7202,3218,"8,7,3,1,9,6,5,4,1,11,4,3,3,12,2,1",0.003799
13,9782,261072,16384,21478,9684,"2,6,2,1,8,4,5,2,12,14,6,5,1,9,2,1",0.011608
14,10008,266356,16384,22052,9907,"1,7,8,1,14,10,3,2,2,6,4,12,4,3,5,3",0.011714
15,11117,289532,16384,24404,11005,"1,2,11,1,14,10,8,12,9,1,4,5,2,4,2,1",0.013061
16,12608,336764,16384,27890,12481,"1,2,1,2,2,3,13,5,4,5,3,14,1,7,10,11",0.015208
17,12342,329660,16384,27116,12218,"5,2,1,2,3,13,4,3,4,14,6,4,1,6,8,11",0.01484
18,11137,289864,16384,24492,11025,"2,3,5,14,1,5,6,12,2,4,8,11,1,3,9,10",0.013109
19,6484,156808,8192,14284,6419,"1,4,8,1,2,1,12,5,9,7,2,13,3,10,1,2",0.007625
20,11672,307104,16384,25774,11555,"2,5,2,1,9,6,4,3,12,14,12,1,1,3,9,5",0.014211
21,11095,289620,16384,24456,10984,"1,2,11,2,2,10,8,12,5,6,9,14,1,2,4,2",0.013363
22,5534,132028,8192,12204,5478,"2,13,6,1,10,11,5,3,9,7,4,2,7,5,3,1",0.006617
23,5549,132852,8192,12328,5493,"1,9,5,3,10,8,4,2,11,7,5,1,2,13,6,2",0.006513
24,5469,131004,8192,11996,5414,"4,7,2,1,3,5,10,9,2,13,1,4,1,11,2,1",0.006381
25,11042,288536,16384,24312,10931,"12,11,10,1,5,7,9,2,2,4,5,4,1,2,14,3",0.013279
